t,exercise,source,raw,smoothed,confidence,face_x,face_y,face_w,face_h,face_conf,face_area,orientation,pose_nose_y,pose_shoulder_y,pose_hip_y,pose_conf,event,phase,armed,rep_count,state
0.0000,pushUp,face,0.049453,0.050509,0.907865,0.511427,0.618105,0.296507,0.166785,0.907865,0.049453,7,,,,,,rest,1,1,debug
0.0333,pushUp,face,0.055565,0.052026,0.902200,0.503399,0.611700,0.314296,0.176792,0.902200,0.055565,7,,,,,,rest,1,1,debug
0.0667,pushUp,face,0.055166,0.052968,0.889939,0.503707,0.610675,0.313166,0.176156,0.889939,0.055166,7,,,,,,rest,1,1,debug
0.1000,pushUp,face,0.048178,0.051531,0.890488,0.510388,0.619022,0.292661,0.164622,0.890488,0.048178,7,,,,,,rest,1,1,debug
0.1333,pushUp,face,0.049835,0.051022,0.897316,0.506944,0.615271,0.297651,0.167429,0.897316,0.049835,7,,,,,,rest,1,1,debug
0.1667,pushUp,face,0.046914,0.049790,0.908134,0.510187,0.616505,0.288795,0.162447,0.908134,0.046914,7,,,,,,rest,1,1,debug
0.2000,pushUp,face,0.052058,0.050470,0.905441,0.503884,0.610029,0.304218,0.171122,0.905441,0.052058,7,,,,,,rest,1,1,debug
0.2333,pushUp,face,0.046344,0.049233,0.903011,0.511796,0.616731,0.287035,0.161457,0.903011,0.046344,7,,,,,,rest,1,1,debug
0.2667,pushUp,face,0.051338,0.049864,0.907327,0.504332,0.611424,0.302104,0.169934,0.907327,0.051338,7,,,,,,rest,1,1,debug
0.3000,pushUp,face,0.045817,0.048650,0.905172,0.512328,0.614709,0.285400,0.160537,0.905172,0.045817,7,,,,,,rest,1,1,debug
0.3333,pushUp,face,0.050055,0.049071,0.886366,0.501759,0.607104,0.298306,0.167797,0.886366,0.050055,7,,,,,,rest,1,1,debug
0.3667,pushUp,face,0.050945,0.049633,0.899218,0.498316,0.608729,0.300945,0.169282,0.899218,0.050945,7,,,,,,rest,1,1,debug
0.4000,pushUp,face,0.048941,0.049426,0.909745,0.499786,0.609614,0.294968,0.165919,0.909745,0.048941,7,,,,,,rest,1,1,debug
0.4334,pushUp,face,0.048052,0.049014,0.905441,0.497445,0.610956,0.292278,0.164406,0.905441,0.048052,7,,,,,,rest,1,1,debug
0.4667,pushUp,face,0.049396,0.049128,0.885815,0.483117,0.605636,0.296335,0.166688,0.885815,0.049396,7,,,,,,rest,1,1,debug
0.5000,pushUp,face,0.047878,0.048753,0.913495,0.471528,0.605487,0.291748,0.164108,0.913495,0.047878,7,,,,,,rest,1,1,debug
0.5334,pushUp,face,0.049034,0.048838,0.900575,0.456717,0.603076,0.295249,0.166078,0.900575,0.049034,7,,,,,,rest,1,1,debug
0.5667,pushUp,face,0.048894,0.048854,0.900033,0.449883,0.604739,0.294825,0.165839,0.900033,0.048894,7,,,,,,rest,1,1,debug
0.6000,pushUp,face,0.049819,0.049144,0.900846,0.431531,0.603091,0.297601,0.167400,0.900846,0.049819,7,,,,,,rest,1,1,debug
0.6334,pushUp,face,0.046420,0.048326,0.867434,0.415936,0.605605,0.287270,0.161590,0.867434,0.046420,7,,,,,,rest,1,1,debug
0.6667,pushUp,face,0.049106,0.048560,0.897860,0.406996,0.602299,0.295464,0.166198,0.897860,0.049106,7,,,,,,rest,1,1,debug
0.7000,pushUp,face,0.049596,0.048871,0.889391,0.398920,0.599643,0.296935,0.167026,0.889391,0.049596,7,,,,,,rest,1,1,debug
0.7334,pushUp,face,0.052759,0.050037,0.883331,0.386800,0.595762,0.306259,0.172271,0.883331,0.052759,7,,,,,,rest,1,1,debug
0.7667,pushUp,face,0.049909,0.049999,0.890762,0.389823,0.601452,0.297871,0.167553,0.890762,0.049909,7,,,,,,rest,1,1,debug
0.8000,pushUp,face,0.049936,0.049980,0.925179,0.382023,0.598695,0.297952,0.167598,0.925179,0.049936,7,,,,,,rest,1,1,debug
0.8334,pushUp,face,0.051625,0.050473,0.933062,0.377733,0.595412,0.302948,0.170408,0.933062,0.051625,7,,,,,,rest,1,1,debug
0.8667,pushUp,face,0.054624,0.051719,0.923859,0.370789,0.585997,0.311624,0.175288,0.923859,0.054624,7,,,,,,rest,1,1,debug
0.9000,pushUp,face,0.052225,0.051870,0.907327,0.372197,0.587988,0.304703,0.171396,0.907327,0.052225,7,,,,,,rest,1,1,debug
0.9334,pushUp,face,0.055536,0.052970,0.907865,0.373772,0.579316,0.314216,0.176746,0.907865,0.055536,7,,,,,,rest,1,1,debug
0.9667,pushUp,face,0.055705,0.053791,0.910282,0.376378,0.576092,0.314693,0.177015,0.910282,0.055705,7,,,,,,rest,1,1,debug
