t,exercise,source,raw,smoothed,confidence,face_x,face_y,face_w,face_h,face_conf,face_area,orientation,pose_nose_y,pose_shoulder_y,pose_hip_y,pose_conf,event,phase,armed,rep_count,state
0.0000,squat,face,0.037748,0.037866,0.885815,0.596648,0.466275,0.259052,0.145717,0.885815,0.037748,7,,,,,,rest,0,0,debug
0.0333,squat,face,0.039166,0.038256,0.895409,0.594107,0.463373,0.263872,0.148428,0.895409,0.039166,7,,,,,,rest,0,0,debug
0.0667,squat,face,0.039754,0.038705,0.900304,0.597861,0.462869,0.265845,0.149538,0.900304,0.039754,7,,,,,,rest,0,0,debug
0.1000,squat,face,0.038622,0.038680,0.898675,0.602418,0.463760,0.262033,0.147393,0.898675,0.038622,7,,,,,,rest,0,0,debug
0.1333,squat,face,0.039487,0.038922,0.899218,0.601404,0.460728,0.264952,0.149035,0.899218,0.039487,7,,,,,,rest,0,0,debug
0.1667,squat,face,0.038303,0.038737,0.878898,0.605689,0.457808,0.260950,0.146784,0.878898,0.038303,7,,,,,,rest,0,0,debug
0.2000,squat,face,0.035266,0.037696,0.879175,0.606815,0.465521,0.250391,0.140845,0.879175,0.035266,7,,,,,,rest,0,0,debug
0.2333,squat,face,0.034931,0.036866,0.881117,0.601629,0.461909,0.249199,0.140175,0.881117,0.034931,7,,,,,,rest,0,0,debug
0.2667,squat,face,0.031717,0.035322,0.901659,0.598306,0.462876,0.237457,0.133570,0.901659,0.031717,7,,,,,,rest,0,0,debug
0.3000,squat,face,0.029690,0.033632,0.894591,0.593381,0.460524,0.229745,0.129232,0.894591,0.029690,7,,,,,,rest,0,0,debug
0.3333,squat,face,0.025206,0.031104,0.876115,0.591644,0.456432,0.211684,0.119072,0.876115,0.025206,7,,,,,,rest,0,0,debug
0.3667,squat,face,0.023516,0.028828,0.905172,0.584908,0.454807,0.204464,0.115011,0.905172,0.023516,7,,,,,,rest,0,0,debug
0.4000,squat,face,0.021158,0.026527,0.873324,0.585011,0.457547,0.193942,0.109093,0.873324,0.021158,7,,,,,,rest,0,0,debug
0.4334,squat,face,0.019032,0.024278,0.899218,0.576499,0.450924,0.183940,0.103466,0.899218,0.019032,7,,,,,,rest,0,0,debug
0.4667,squat,face,0.015956,0.021781,0.584425,0.246452,0.904519,0.168421,0.094737,0.584425,0.015956,7,,,,,,rest,0,0,debug
0.5000,squat,face,0.014223,0.019514,0.900846,0.565117,0.458182,0.159016,0.089446,0.900846,0.014223,7,,,,,,rest,0,0,debug
0.5334,squat,face,0.012512,0.017413,0.900846,0.564322,0.464119,0.149142,0.083893,0.900846,0.012512,7,,,,,,rest,0,0,debug
0.5667,squat,face,0.011314,0.015584,0.836193,0.557271,0.471017,0.141825,0.079776,0.836193,0.011314,7,,,,,,rest,0,0,debug
0.6000,squat,face,0.009783,0.013843,0.863202,0.552730,0.475447,0.131879,0.074182,0.863202,0.009783,7,,,,,,rest,0,0,debug
0.6334,squat,face,0.009354,0.012497,0.897588,0.551071,0.483220,0.128954,0.072537,0.897588,0.009354,7,,,,,,rest,0,0,debug
0.6667,squat,face,0.008377,0.011261,0.838817,0.545656,0.490225,0.122037,0.068646,0.838817,0.008377,7,,,,,,rest,0,0,debug
0.7000,squat,face,0.007725,0.010200,0.829451,0.543741,0.497962,0.117188,0.065918,0.829451,0.007725,7,,,,,,rest,0,0,debug
0.7334,squat,face,0.007331,0.009339,0.858096,0.535331,0.511101,0.114163,0.064217,0.858096,0.007331,7,,,,,,rest,0,0,debug
0.7667,squat,face,0.006468,0.008478,0.857242,0.533328,0.517261,0.107233,0.060319,0.857242,0.006468,7,,,,,,rest,0,0,debug
0.8000,squat,face,0.006031,0.007744,0.834147,0.527920,0.530464,0.103548,0.058246,0.834147,0.006031,7,,,,,,rest,0,0,debug
0.8334,squat,face,0.006009,0.007224,0.769918,0.525319,0.540606,0.103361,0.058141,0.769918,0.006009,7,,,,,,rest,0,0,debug
0.8667,squat,face,0.005261,0.006635,0.790569,0.527792,0.549046,0.096707,0.054398,0.790569,0.005261,7,,,,,,rest,0,0,debug
0.9000,squat,face,0.005262,0.006223,0.848942,0.515179,0.557931,0.096724,0.054407,0.848942,0.005262,7,,,,,,rest,0,0,debug
0.9334,squat,face,0.005490,0.006003,0.761949,0.513314,0.567654,0.098789,0.055569,0.761949,0.005490,7,,,,,,rest,0,0,debug
0.9667,squat,face,0.005102,0.005733,0.744773,0.515926,0.574368,0.095239,0.053572,0.744773,0.005102,7,,,,,,rest,0,0,debug
1.0000,squat,face,0.005470,0.005654,0.613567,0.513250,0.581620,0.098608,0.055467,0.613567,0.005470,7,,,,,,rest,0,0,debug
1.0334,squat,face,0.004683,0.005362,0.670238,0.402437,0.360569,0.091241,0.051323,0.670238,0.004683,5,0.395576,0.312252,0.142813,0.846191,,rest,0,0,debug
1.0667,squat,face,0.004220,0.005020,0.713637,0.407865,0.355669,0.086620,0.048724,0.713637,0.004220,5,0.393760,0.307208,0.145404,0.846191,,rest,0,0,debug
1.1000,squat,face,0.003941,0.004696,0.610576,0.408345,0.351349,0.083708,0.047086,0.610576,0.003941,5,0.386918,0.298864,0.149019,0.742188,,rest,0,0,debug
1.1334,squat,face,,0.004696,0.000000,,,,,,,,0.387066,0.294084,0.153480,0.712402,,rest,0,0,debug
1.1667,squat,face,0.003697,0.004396,0.601309,0.422847,0.343448,0.081067,0.045600,0.601309,0.003697,5,0.382803,0.289277,0.145522,0.842285,,rest,0,0,debug
1.2001,squat,face,,0.004396,0.000000,,,,,,,,0.377457,0.285953,0.141708,0.743164,,rest,0,0,debug
1.2334,squat,face,,0.004396,0.000000,,,,,,,,0.376459,0.285457,0.143968,0.752441,,rest,0,0,debug
1.2667,squat,face,,0.004396,0.000000,,,,,,,,0.374409,0.283252,0.133390,0.761230,,rest,0,0,debug
1.3001,squat,face,,0.004396,0.000000,,,,,,,,0.371692,0.282970,0.137038,0.832520,,rest,0,0,debug
1.3334,squat,face,,0.004396,0.000000,,,,,,,,0.368548,0.282229,0.133769,0.784668,,rest,0,0,debug
1.3667,squat,face,,0.004396,0.000000,,,,,,,,0.366562,0.281020,0.133378,0.710938,,rest,0,0,debug
1.4001,squat,face,,0.004396,0.000000,,,,,,,,0.362871,0.279849,0.141096,0.706055,,rest,0,0,debug
1.4334,squat,face,,0.004396,0.000000,,,,,,,,0.361800,0.278443,0.135697,0.697754,,rest,0,0,debug
1.4667,squat,face,,0.004396,0.000000,,,,,,,,0.361638,0.278009,0.123101,0.705078,,rest,0,0,debug
1.5001,squat,face,0.002755,0.003904,0.600496,0.324362,0.462569,0.039363,0.069979,0.600496,0.002755,2,0.593797,0.540682,,0.538574,,rest,0,0,debug
1.5334,squat,face,,0.003904,0.000000,,,,,,,,0.593941,0.547709,,0.582031,,rest,0,0,debug
1.5667,squat,face,,0.003904,0.000000,,,,,,,,0.594492,0.551488,,0.676270,,rest,0,0,debug
1.6001,squat,face,,0.003904,0.000000,,,,,,,,0.590433,0.543892,,0.632324,,rest,0,0,debug
1.6334,squat,face,,0.003904,0.000000,,,,,,,,0.592069,0.535611,,0.729004,,rest,0,0,debug
1.6667,squat,face,,0.003904,0.000000,,,,,,,,0.587271,0.538825,,0.651367,,rest,0,0,debug
1.7001,squat,face,,0.003904,0.000000,,,,,,,,0.584488,0.534436,,0.558594,,rest,0,0,debug
