t,exercise,source,raw,smoothed,confidence,face_x,face_y,face_w,face_h,face_conf,face_area,orientation,pose_nose_y,pose_shoulder_y,pose_hip_y,pose_conf,event,phase,armed,rep_count,state,low,high,pose_shoulder_w,luma_mean,luma_center,depth_near,depth_center,depth_valid
0.0000,squat,face,0.026948,0.032408,0.916696,0.291579,0.560073,0.123119,0.218879,0.916696,0.026948,2,,,,,,rest,0,0,debug,0.006000,0.012000,,0.598522,0.641112,,,
0.0333,squat,face,0.036710,0.033699,0.929917,0.278660,0.536831,0.143699,0.255464,0.929917,0.036710,2,0.660155,0.677375,,0.817383,,rest,0,0,debug,0.006000,0.012000,0.378948,0.600526,0.639581,0.575000,1.705000,1.000000
0.1000,squat,face,0.030494,0.032737,0.930705,0.288320,0.546242,0.130968,0.232832,0.930705,0.030494,2,0.656346,0.674418,,0.818848,,rest,0,0,debug,0.006000,0.012000,0.378518,0.599855,0.638632,,,
0.1333,squat,face,0.031145,0.032260,0.932015,0.284541,0.546146,0.132360,0.235307,0.932015,0.031145,2,0.656305,0.674070,,0.813965,,rest,0,0,debug,0.006000,0.012000,0.377202,0.599208,0.638728,0.575000,1.705000,1.000000
0.1667,squat,face,0.031649,0.032076,0.931491,0.284392,0.543038,0.133426,0.237202,0.931491,0.031649,2,,,,,,rest,0,0,debug,0.006000,0.012000,,0.598633,0.638639,0.575000,1.695000,1.000000
0.2000,squat,face,0.026636,0.030444,0.928867,0.295156,0.556245,0.122404,0.217607,0.928867,0.026636,2,,,,,,rest,0,0,debug,0.006000,0.012000,,0.598701,0.638445,0.575000,1.695000,1.000000
0.2667,squat,face,0.029727,0.030229,0.898947,0.292293,0.543877,0.129311,0.229886,0.898947,0.029727,2,,,,,,rest,0,0,debug,0.006000,0.012000,,0.598319,0.639367,,,
0.3333,squat,face,0.029151,0.029906,0.908134,0.293989,0.546562,0.128052,0.227648,0.908134,0.029151,2,,,,,,rest,0,0,debug,0.006000,0.012000,,0.598652,0.640831,0.575000,1.695000,1.000000
0.3667,squat,face,0.031375,0.030346,0.914029,0.294967,0.540770,0.132847,0.236172,0.914029,0.031375,2,,,,,,rest,0,0,debug,0.006000,0.012000,,0.598569,0.641548,0.575000,1.695000,1.000000
0.4000,squat,face,0.029524,0.030100,0.921213,0.296537,0.542958,0.128869,0.229101,0.921213,0.029524,2,,,,,,rest,0,0,debug,0.006000,0.012000,,0.598123,0.641622,,,
0.4333,squat,face,0.027712,0.029383,0.922801,0.298730,0.550702,0.124851,0.221957,0.922801,0.027712,2,,,,,,rest,0,0,debug,0.006000,0.012000,,0.598368,0.642256,0.575000,1.705000,1.000000
0.4667,squat,face,0.029539,0.029430,0.922007,0.297058,0.549007,0.128901,0.229158,0.922007,0.029539,2,,,,,,rest,0,0,debug,0.006000,0.012000,,0.598834,0.642992,,,
0.5000,squat,face,0.029421,0.029427,0.919621,0.296094,0.546982,0.128643,0.228700,0.919621,0.029421,2,,,,,,rest,0,0,debug,0.006000,0.012000,,0.599513,0.643263,0.575000,1.705000,1.000000
0.5667,squat,face,0.028596,0.029178,0.921213,0.298269,0.553583,0.126827,0.225470,0.921213,0.028596,2,0.661040,0.621306,,0.818359,,rest,0,0,debug,0.006000,0.012000,0.470900,0.600767,0.644324,0.575000,1.705000,1.000000
