t,exercise,source,raw,smoothed,confidence,face_x,face_y,face_w,face_h,face_conf,face_area,orientation,pose_nose_y,pose_shoulder_y,pose_hip_y,pose_conf,event,phase,armed,rep_count,state
0.0000,pushUp,face,0.049488,,0.950000,0.3,0.3,0.222460,0.222460,0.950000,0.049488,2,,,,,,,0,0,synthetic
0.0333,pushUp,face,0.051023,,0.950000,0.3,0.3,0.225882,0.225882,0.950000,0.051023,2,,,,,,,0,0,synthetic
0.0667,pushUp,face,0.049548,,0.950000,0.3,0.3,0.222593,0.222593,0.950000,0.049548,2,,,,,,,0,0,synthetic
0.1000,pushUp,face,0.049370,,0.950000,0.3,0.3,0.222193,0.222193,0.950000,0.049370,2,,,,,,,0,0,synthetic
0.1333,pushUp,face,0.048140,,0.950000,0.3,0.3,0.219408,0.219408,0.950000,0.048140,2,,,,,,,0,0,synthetic
0.1667,pushUp,face,0.049573,,0.950000,0.3,0.3,0.222651,0.222651,0.950000,0.049573,2,,,,,,,0,0,synthetic
0.2000,pushUp,face,0.052224,,0.950000,0.3,0.3,0.228525,0.228525,0.950000,0.052224,2,,,,,,,0,0,synthetic
0.2333,pushUp,face,0.050848,,0.950000,0.3,0.3,0.225496,0.225496,0.950000,0.050848,2,,,,,,,0,0,synthetic
0.2667,pushUp,face,0.052074,,0.950000,0.3,0.3,0.228197,0.228197,0.950000,0.052074,2,,,,,,,0,0,synthetic
0.3000,pushUp,face,0.050498,,0.950000,0.3,0.3,0.224717,0.224717,0.950000,0.050498,2,,,,,,,0,0,synthetic
0.3333,pushUp,face,0.050790,,0.950000,0.3,0.3,0.225365,0.225365,0.950000,0.050790,2,,,,,,,0,0,synthetic
0.3667,pushUp,face,0.050371,,0.950000,0.3,0.3,0.224434,0.224434,0.950000,0.050371,2,,,,,,,0,0,synthetic
0.4000,pushUp,face,0.046668,,0.950000,0.3,0.3,0.216027,0.216027,0.950000,0.046668,2,,,,,,,0,0,synthetic
0.4333,pushUp,face,0.051711,,0.950000,0.3,0.3,0.227399,0.227399,0.950000,0.051711,2,,,,,,,0,0,synthetic
0.4667,pushUp,face,0.051013,,0.950000,0.3,0.3,0.225860,0.225860,0.950000,0.051013,2,,,,,,,0,0,synthetic
0.5000,pushUp,face,0.050998,,0.950000,0.3,0.3,0.225827,0.225827,0.950000,0.050998,2,,,,,,,0,0,synthetic
0.5333,pushUp,face,0.046617,,0.950000,0.3,0.3,0.215910,0.215910,0.950000,0.046617,2,,,,,,,0,0,synthetic
0.5667,pushUp,face,0.046512,,0.950000,0.3,0.3,0.215667,0.215667,0.950000,0.046512,2,,,,,,,0,0,synthetic
0.6000,pushUp,face,0.048221,,0.950000,0.3,0.3,0.219592,0.219592,0.950000,0.048221,2,,,,,,,0,0,synthetic
0.6333,pushUp,face,0.049064,,0.950000,0.3,0.3,0.221503,0.221503,0.950000,0.049064,2,,,,,,,0,0,synthetic
0.6667,pushUp,face,0.050611,,0.950000,0.3,0.3,0.224969,0.224969,0.950000,0.050611,2,,,,,,,0,0,synthetic
0.7000,pushUp,face,0.049908,,0.950000,0.3,0.3,0.223401,0.223401,0.950000,0.049908,2,,,,,,,0,0,synthetic
0.7333,pushUp,face,0.051042,,0.950000,0.3,0.3,0.225925,0.225925,0.950000,0.051042,2,,,,,,,0,0,synthetic
0.7667,pushUp,face,0.048716,,0.950000,0.3,0.3,0.220716,0.220716,0.950000,0.048716,2,,,,,,,0,0,synthetic
0.8000,pushUp,face,0.050617,,0.950000,0.3,0.3,0.224983,0.224983,0.950000,0.050617,2,,,,,,,0,0,synthetic
