t,exercise,source,raw,smoothed,confidence,face_x,face_y,face_w,face_h,face_conf,face_area,orientation,pose_nose_y,pose_shoulder_y,pose_hip_y,pose_conf,event,phase,armed,rep_count,state,low,high,pose_shoulder_w,pose_shoulder_conf,pose_orientation,luma_mean,luma_center,depth_valid,depth_p05,depth_p10,depth_median,depth_center,depth_age,depth_g0,depth_g1,depth_g2,depth_g3,depth_g4,depth_g5,depth_g6,depth_g7,depth_g8
0.0000,pushUp,face,0.068240,0.067906,0.914029,0.203426,0.322725,0.348304,0.195921,0.914029,0.068240,5,,,,,,rest,1,0,debug,0.094581,0.245758,,,,0.670623,0.626337,0.935417,0.425249,0.440998,0.989371,1.546818,0.0000,0.925022,1.715243,0.455111,1.039594,0.545841,0.462511,1.186558,2.092999,1.976825
0.0333,pushUp,face,0.067805,0.067876,0.914029,0.203062,0.322439,0.347191,0.195295,0.914029,0.067805,5,,,,,,rest,1,0,debug,0.094581,0.245758,,,,0.670624,0.626534,0.936181,0.425249,0.439485,0.989371,1.546818,-0.0333,0.925022,1.693958,0.456734,1.039594,0.541512,0.464188,1.186558,2.092999,1.948620
0.0667,pushUp,face,0.067458,0.067750,0.915364,0.204460,0.323763,0.346304,0.194796,0.915364,0.067458,5,,,,,,rest,1,0,debug,0.094581,0.245758,,,,0.670153,0.626248,0.936597,0.425249,0.439485,0.981783,1.546818,-0.0333,0.925022,1.693958,0.456734,1.039594,0.543811,0.460846,1.186558,2.092999,1.923004
0.1000,pushUp,face,0.066628,0.067414,0.913762,0.204051,0.322905,0.344166,0.193593,0.913762,0.066628,5,,,,,,rest,1,0,debug,0.094581,0.245758,,,,0.669287,0.625029,0.936944,0.425249,0.439485,0.981783,1.546818,-0.0333,0.925022,1.693958,0.457961,1.039594,0.541512,0.462511,1.186558,2.092999,1.898054
0.1333,pushUp,face,0.066038,0.067001,0.899761,0.207497,0.324712,0.342638,0.192734,0.899761,0.066038,5,,,,,,rest,1,0,debug,0.094581,0.245758,,,,0.668832,0.624479,0.937847,0.425249,0.439485,0.975238,1.530643,-0.0333,0.918383,1.715243,0.456734,1.039594,0.537532,0.460846,1.177010,2.092999,0.562946
0.1667,pushUp,face,0.065598,0.066580,0.912157,0.210803,0.324292,0.341496,0.192091,0.912157,0.065598,5,,,,,,rest,1,0,debug,0.094581,0.245758,,,,0.668709,0.624408,0.938333,0.423839,0.439485,0.962404,1.482979,-0.0667,0.918383,1.693958,0.456734,1.039594,0.535565,0.459605,1.196261,2.092999,0.503441
0.2333,pushUp,face,0.066417,0.066497,0.917229,0.221624,0.322231,0.343620,0.193287,0.917229,0.066417,5,,,,,,rest,1,0,debug,0.094581,0.245758,,,,0.668394,0.622376,0.938194,0.423839,0.439485,0.962404,1.468100,-0.0333,0.925022,1.715243,0.456734,1.039594,0.533611,0.459605,1.186558,2.092999,0.492781
0.2667,pushUp,face,0.066927,0.066626,0.898132,0.226026,0.321842,0.344937,0.194027,0.898132,0.066927,5,,,,,,rest,1,0,debug,0.094581,0.245758,,,,0.668437,0.620939,0.938472,0.423839,0.439485,0.949027,1.438202,-0.0333,0.925022,1.715243,0.455111,1.039594,0.531396,0.457961,1.196261,2.092999,0.486228
0.3000,pushUp,face,0.065947,0.066422,0.902741,0.235520,0.324029,0.342403,0.192601,0.902741,0.065947,5,,,,,,rest,1,0,debug,0.094581,0.245758,,,,0.668248,0.619224,0.939306,0.422791,0.439485,0.936869,1.409497,-0.0333,0.918383,1.735592,0.455111,1.039594,0.529473,0.459605,1.186558,2.092999,0.481202
0.3333,pushUp,face,0.067508,0.066748,0.924387,0.243120,0.323407,0.346431,0.194867,0.924387,0.067508,5,,,,,,rest,1,0,debug,0.094581,0.245758,,,,0.667655,0.615321,0.939028,0.422791,0.439485,0.930907,1.381916,-0.0333,0.918383,1.735592,0.453498,1.039594,0.523785,0.457961,1.177010,2.092999,0.476279
0.3667,pushUp,face,0.066177,0.066577,0.910014,0.250936,0.326856,0.342998,0.192937,0.910014,0.066177,5,,,,,,rest,1,0,debug,0.094581,0.245758,,,,0.666478,0.610691,0.939722,0.421399,0.439485,0.918383,1.342950,-0.0333,0.918383,1.735592,0.453498,1.039594,0.521650,0.456734,1.186558,2.092999,0.476279
0.4334,pushUp,face,0.066994,0.066790,0.919356,0.262208,0.330073,0.345109,0.194124,0.919356,0.066994,5,,,,,,rest,1,0,debug,0.094581,0.245758,,,,0.664790,0.602458,0.939653,0.420361,0.436860,0.901407,1.260303,-0.0333,0.918383,1.756431,0.453498,1.039594,0.516129,0.455111,1.186558,2.092999,0.471889
0.4667,pushUp,face,0.064069,0.065973,0.900575,0.272437,0.335638,0.337491,0.189838,0.900575,0.064069,5,,,,,,rest,1,0,debug,0.094581,0.245758,,,,0.664271,0.599687,0.939097,0.418985,0.436860,0.890435,1.216872,-0.0333,0.918383,1.756431,0.453498,1.039594,0.516129,0.453498,1.186558,2.092999,0.473197
0.5000,pushUp,face,0.063994,0.065380,0.908403,0.276391,0.337741,0.337294,0.189728,0.908403,0.063994,5,,,,,,rest,1,0,debug,0.094581,0.245758,,,,0.663645,0.595576,0.938750,0.417618,0.436860,0.884283,0.574313,-0.0333,0.918383,1.756431,0.452294,1.039594,0.512511,0.452294,1.186558,2.092999,0.470156
0.5334,pushUp,face,0.065056,0.065282,0.908671,0.281845,0.337911,0.340080,0.191295,0.908671,0.065056,5,,,,,,rest,1,0,debug,0.094581,0.245758,,,,0.662741,0.592607,0.938611,0.417618,0.436860,0.884283,0.556522,-0.0333,0.918383,1.756431,0.453498,1.039594,0.508692,0.452294,1.186558,2.092999,0.471889
0.6000,pushUp,face,0.065467,0.065376,0.926498,0.295281,0.339254,0.341153,0.191899,0.926498,0.065467,5,,,,,,rest,1,0,debug,0.094581,0.245758,,,,0.661714,0.587611,0.938264,0.417618,0.436860,0.890435,0.547885,-0.0333,0.918383,1.756431,0.453498,1.039594,0.505179,0.450704,1.186558,2.092999,0.471889
0.6334,pushUp,face,0.066255,0.065640,0.898947,0.299230,0.339688,0.343200,0.193050,0.898947,0.066255,5,,,,,,rest,1,0,debug,0.094581,0.245758,,,,0.661749,0.587288,0.938403,0.416598,0.436860,0.890435,0.545841,-0.0333,0.918383,1.756431,0.455111,1.039594,0.505179,0.447944,1.186558,2.092999,0.474953
0.6667,pushUp,face,0.068167,0.066398,0.909477,0.302202,0.335819,0.348117,0.195816,0.909477,0.068167,5,,,,,,rest,1,0,debug,0.094581,0.245758,,,,0.661749,0.586544,0.937847,0.416598,0.436860,0.890435,0.543811,-0.0333,0.918383,1.756431,0.457961,1.031738,0.503441,0.449516,1.186558,2.092999,0.473197
