t,exercise,source,raw,smoothed,confidence,face_x,face_y,face_w,face_h,face_conf,face_area,orientation,pose_nose_y,pose_shoulder_y,pose_hip_y,pose_conf,event,phase,armed,rep_count,state,low,high,pose_shoulder_w,pose_shoulder_conf,pose_orientation,luma_mean,luma_center,depth_valid,depth_p05,depth_p10,depth_median,depth_center,depth_age,depth_g0,depth_g1,depth_g2,depth_g3,depth_g4,depth_g5,depth_g6,depth_g7,depth_g8
0.0000,squat,face,0.036609,0.036712,0.888017,0.431239,0.215806,0.143502,0.255114,0.888017,0.036609,4,0.650448,0.635209,,0.782227,,rest,0,0,debug,0.561119,0.580001,0.219482,0.268799,2,0.692967,0.690371,0.938333,0.405705,0.460846,0.837971,1.139041,0.0000,0.901407,1.617693,0.590881,1.009858,0.684949,0.560789,1.139041,2.092999,0.430252
0.0333,squat,face,0.036263,0.036577,0.886090,0.430876,0.215377,0.142822,0.253906,0.886090,0.036263,4,0.650866,0.638231,,0.781738,,rest,0,0,debug,0.561119,0.580001,0.219145,0.331055,2,0.693169,0.691051,0.938472,0.406995,0.464188,0.842797,1.147982,0.0000,0.912656,1.617693,0.590881,1.016880,0.684949,0.560789,1.139041,2.062437,0.434266
0.0667,squat,face,0.036440,0.036536,0.880008,0.432475,0.215351,0.143169,0.254523,0.880008,0.036440,4,0.653277,0.638977,,0.812012,,rest,0,0,debug,0.561119,0.580001,0.224198,0.344238,2,0.694122,0.692056,0.937708,0.404743,0.462511,0.842797,1.139041,0.0000,0.906997,1.617693,0.590881,1.009858,0.681304,0.560789,1.139041,2.062437,0.435743
0.1000,squat,face,0.036097,0.036404,0.888017,0.429631,0.211835,0.142494,0.253322,0.888017,0.036097,4,0.654066,0.633430,,0.814941,,rest,0,0,debug,0.561119,0.580001,0.227667,0.349609,2,0.694836,0.693060,0.937361,0.405705,0.462511,0.842797,1.186558,0.0000,0.912656,1.617693,0.590881,1.009858,0.681304,0.560789,1.130241,2.062437,0.439485
0.1333,squat,face,0.035265,0.036062,0.883883,0.431031,0.215323,0.140842,0.250386,0.883883,0.035265,4,0.651744,0.629295,,0.798828,,rest,0,0,debug,0.561119,0.580001,0.224097,0.378418,2,0.695789,0.694680,0.936736,0.405705,0.460846,0.842797,1.177010,0.0000,0.912656,1.617693,0.593623,1.009858,0.684949,0.565121,1.130241,2.062437,0.443674
0.1667,squat,face,0.035028,0.035752,0.884160,0.432937,0.219024,0.140368,0.249543,0.884160,0.035028,4,0.647931,0.629309,,0.774414,,rest,0,0,debug,0.561119,0.580001,0.225558,0.400391,2,0.697022,0.696325,0.937014,0.406995,0.462511,0.842797,1.157714,0.0000,0.912656,1.617693,0.596042,1.016880,0.691425,0.572067,1.139041,2.092999,0.446382
0.2000,squat,face,0.033296,0.035015,0.883054,0.433531,0.223007,0.136854,0.243296,0.883054,0.033296,4,0.648113,0.623663,,0.795898,,rest,0,0,debug,0.561119,0.580001,0.227525,0.395752,2,0.698440,0.698244,0.936528,0.405705,0.464188,0.847677,0.761338,0.0000,0.912656,1.617693,0.598478,1.009858,0.698021,0.579184,1.139041,2.092999,0.450704
0.2333,squat,face,0.032860,0.034369,0.896772,0.432766,0.222879,0.135955,0.241698,0.896772,0.032860,4,0.645373,0.623345,,0.733398,,rest,0,0,debug,0.561119,0.580001,0.225961,0.385986,2,0.699930,0.700723,0.937014,0.409273,0.470156,0.847677,0.757393,0.0000,0.912656,1.617693,0.603418,1.009858,0.705234,0.588505,1.139041,2.062437,0.468435
0.2667,squat,face,0.031161,0.033406,0.877786,0.427511,0.227072,0.132394,0.235368,0.877786,0.031161,4,0.642675,0.614684,,0.750488,,rest,0,0,debug,0.561119,0.580001,0.230659,0.358643,2,0.701760,0.702249,0.936875,0.414236,0.478057,0.847677,0.787087,0.0000,0.906997,1.635777,0.608799,1.009858,0.715581,0.600936,1.130241,2.062437,0.486228
0.3000,squat,face,0.029651,0.032280,0.871365,0.429213,0.233494,0.129147,0.229594,0.871365,0.029651,4,0.639569,0.604217,,0.782227,,rest,0,0,debug,0.561119,0.580001,0.226733,0.258057,2,0.704140,0.703587,0.936597,0.421399,0.489484,0.857621,0.782275,0.0000,0.912656,1.635777,0.619105,1.016880,0.730385,0.613908,1.130241,2.092999,0.508692
